analysis_category,openings,closures,open_plus_close,opening_share_pct,closure_share_pct,closure_rate_of_events_pct,net_change
construction,35216,15640,50856,6.46,4.02,30.75,19576
education,2195,747,2942,0.4,0.19,25.39,1448
finance,698,551,1249,0.13,0.14,44.12,147
food/cafe,50177,36593,86770,9.21,9.4,42.17,13584
information/media,1285,876,2161,0.24,0.23,40.54,409
lifestyle/culture,13810,8805,22615,2.53,2.26,38.93,5005
manufacturing,8456,7090,15546,1.55,1.82,45.61,1366
other,279067,198301,477368,51.22,50.95,41.54,80766
professional,6952,4428,11380,1.28,1.14,38.91,2524
real estate,1520,1194,2714,0.28,0.31,43.99,326
services,28558,16927,45485,5.24,4.35,37.21,11631
shop/retail,115680,96751,212431,21.23,24.86,45.54,18929
transport/storage,1210,1333,2543,0.22,0.34,52.42,-123
