event_type,event_date,event_month,business_id,business_name,business_address,lon,lat,station_id,station_name
opening,2026-04-01,2026-04,632451,迪安藝術工作室,臺北市大同區承德路1段105號8樓之6,121.51781,25.052848,zhongshan,Zhongshan
opening,2026-04-01,2026-04,632473,下半場生活企業社,臺北市大安區市民大道三段220號1樓,121.540874,25.044339,zhongxiao_fuxing,Zhongxiao Fuxing
opening,2026-04-01,2026-04,632488,卓岳企業社,臺北市大同區南京西路57號3樓,121.519354,25.053083,zhongshan,Zhongshan
opening,2026-04-01,2026-04,632543,茗教練教育工作室,臺北市中山區長春路20號8樓,121.523777,25.054857,zhongshan,Zhongshan
opening,2026-04-01,2026-04,644013,徠蕎美容工作坊,臺北市中山區中山北路2段45巷7號3樓之3,121.523276,25.054503,zhongshan,Zhongshan
opening,2026-04-02,2026-04,632591,釀沉商貿行,臺北市中山區市民大道3段169號7樓之3,121.540648,25.04481,zhongxiao_fuxing,Zhongxiao Fuxing
opening,2026-04-08,2026-04,632924,氷塊媒體工作室,臺北市大同區市民大道1段209號12樓,121.51835,25.048893,zhongshan,Zhongshan
opening,2026-04-08,2026-04,633000,好福寶寶文創工作室,臺北市大安區忠孝東路4段53之6號,121.545434,25.041812,zhongxiao_fuxing,Zhongxiao Fuxing
opening,2026-04-08,2026-04,633043,大龍書報社,臺北市大同區承德路1段105號9樓之3,121.51781,25.052848,zhongshan,Zhongshan
opening,2026-04-09,2026-04,633135,彬怡餐廳,臺北市中山區中山北路一段121巷6之1號1樓,121.522954,25.05121,zhongshan,Zhongshan
opening,2026-04-09,2026-04,633212,予安商行,臺北市中山區長安西路40巷6弄4號,121.5201,25.049533,zhongshan,Zhongshan
opening,2026-04-15,2026-04,633727,巷日雞肉飯便當,臺北市中山區中山北路1段121巷11號,121.523624,25.051151,zhongshan,Zhongshan
opening,2026-04-15,2026-04,633894,奧璃肌膚管理工作室,臺北市中正區羅斯福路3段316巷20號5樓,121.532241,25.015366,gongguan,Gongguan
opening,2026-04-16,2026-04,633986,金速喜除毛店,臺北市中山區中山北路一段121巷17號3樓,121.523951,25.051079,zhongshan,Zhongshan
opening,2026-04-23,2026-04,634752,翎感設計室,臺北市中山區中山北路1段140巷13號3樓,121.521545,25.051515,zhongshan,Zhongshan
opening,2026-04-29,2026-04,635680,蓎小姐工作室,臺北市中正區羅斯福路3段316巷20號5樓,121.532241,25.015366,gongguan,Gongguan
opening,2026-04-30,2026-04,635823,魔幻美人魚工作室,臺北市中山區中山北路1段140巷18號2樓,121.52119,25.05143,zhongshan,Zhongshan
closure,2026-04-02,2026-04,26250679,圓緣瑜伽工作坊,臺北市中山區南京東路1段50號(3樓),121.524604,25.051953,zhongshan,Zhongshan
closure,2026-04-07,2026-04,88362251,慕華商行,臺北市大同區南京西路62號7樓,121.519042,25.052752,zhongshan,Zhongshan
closure,2026-04-08,2026-04,4465466,紫園飯店,臺北市大同區南京西路18巷30號1樓,121.520042,25.050611,zhongshan,Zhongshan
closure,2026-04-08,2026-04,75142305,只想吃乾淨工作室,臺北市中山區南京東路1段13巷5號2樓,121.523726,25.053436,zhongshan,Zhongshan
closure,2026-04-09,2026-04,1494522,夢駝鈴風味坊,臺北市中正區汀州路3段108號,121.533195,25.014316,gongguan,Gongguan
closure,2026-04-10,2026-04,79844145,男生好朋友除毛工作室,臺北市中山區中山北路1段140巷8號2樓,121.521401,25.051434,zhongshan,Zhongshan
closure,2026-04-10,2026-04,93190928,永禾商行,臺北市大安區仁愛路4段8巷20號,121.544287,25.037213,zhongxiao_fuxing,Zhongxiao Fuxing
closure,2026-04-13,2026-04,42341424,紅月工作室,臺北市中山區中山北路2段33號6樓,121.522836,25.053381,zhongshan,Zhongshan
closure,2026-04-15,2026-04,88137353,琪式茶寓商行,臺北市中山區中山北路1段105巷8號1樓,121.523385,25.05065,zhongshan,Zhongshan
closure,2026-04-20,2026-04,5119175,鬱金香花苑,臺北市中山區華陰街26號1樓,121.519757,25.049167,zhongshan,Zhongshan
closure,2026-04-20,2026-04,48995202,安捷企業社,臺北市中山區中山北路1段83巷5號6樓之11,121.522823,25.050467,zhongshan,Zhongshan
closure,2026-04-22,2026-04,79847190,星維園藝社,臺北市大安區忠孝東路4段71之6號,121.546856,25.041864,zhongxiao_fuxing,Zhongxiao Fuxing
closure,2026-04-27,2026-04,540994,呼嚕早午餐,臺北市中山區中山北路1段92號2樓之1,121.521133,25.049347,zhongshan,Zhongshan
closure,2026-04-29,2026-04,31900998,皇良寵物生活館,臺北市大同區承德路2段6號,121.517975,25.055129,zhongshan,Zhongshan
