period,industry_zh,openings,closures,existing_businesses,year,analysis_category
111年底,農林漁牧業,13,18,183,2022,other
111年底,礦業及土石採取業,1,1,6,2022,other
111年底,製造業,121,103,773,2022,manufacturing
111年底,電力及燃氣供應業,1,0,7,2022,other
111年底,用水供應及污染整治業,10,14,117,2022,other
111年底,營建工程業,208,163,2289,2022,construction
111年底,批發及零售業,2272,2213,29504,2022,shop/retail
111年底,運輸及倉儲業,7,18,5138,2022,transport/storage
111年底,住宿及餐飲業,1094,952,9802,2022,food/cafe
111年底,出版影音及資通訊業,90,111,1063,2022,information/media
111年底,金融及保險業,20,41,430,2022,finance
111年底,不動產業,24,18,225,2022,real estate
111年底,專業、科學及技術服務業,190,164,2158,2022,professional
111年底,支援服務業,115,104,1328,2022,services
111年底,公共行政及國防；強制性社會安全,0,0,0,2022,other
111年底,教育業,43,11,179,2022,education
111年底,醫療保健及社會工作服務業,0,0,0,2022,health
111年底,藝術、娛樂及休閒服務業,95,136,2046,2022,lifestyle/culture
111年底,其他服務業,359,301,5187,2022,services
112年底,農林漁牧業,10,9,184,2023,other
112年底,礦業及土石採取業,2,1,7,2023,other
112年底,製造業,74,77,769,2023,manufacturing
112年底,電力及燃氣供應業,1,0,8,2023,other
112年底,用水供應及污染整治業,5,7,116,2023,other
112年底,營建工程業,253,165,2379,2023,construction
112年底,批發及零售業,2743,2228,30032,2023,shop/retail
112年底,運輸及倉儲業,6,13,5109,2023,transport/storage
112年底,住宿及餐飲業,1037,921,9915,2023,food/cafe
112年底,出版影音及資通訊業,94,82,1073,2023,information/media
112年底,金融及保險業,20,26,444,2023,finance
112年底,不動產業,21,12,232,2023,real estate
112年底,專業、科學及技術服務業,222,165,2217,2023,professional
112年底,支援服務業,124,95,1365,2023,services
112年底,公共行政及國防；強制性社會安全,0,0,0,2023,other
112年底,教育業,37,17,201,2023,education
112年底,醫療保健及社會工作服務業,0,0,0,2023,health
112年底,藝術、娛樂及休閒服務業,994,145,2894,2023,lifestyle/culture
112年底,其他服務業,375,261,5297,2023,services
113年底,農林漁牧業,16,14,187,2024,other
113年底,礦業及土石採取業,0,0,7,2024,other
113年底,製造業,94,67,791,2024,manufacturing
113年底,電力及燃氣供應業,2,1,9,2024,other
113年底,用水供應及污染整治業,3,2,117,2024,other
113年底,營建工程業,251,206,2421,2024,construction
113年底,批發及零售業,2172,2163,30008,2024,shop/retail
113年底,運輸及倉儲業,5,14,5043,2024,transport/storage
113年底,住宿及餐飲業,969,916,9936,2024,food/cafe
113年底,出版影音及資通訊業,67,88,1052,2024,information/media
113年底,金融及保險業,25,66,460,2024,finance
113年底,不動產業,18,21,230,2024,real estate
113年底,專業、科學及技術服務業,203,188,2233,2024,professional
113年底,支援服務業,110,102,1375,2024,services
113年底,公共行政及國防；強制性社會安全,0,0,0,2024,other
113年底,教育業,50,10,243,2024,education
113年底,醫療保健及社會工作服務業,0,0,0,2024,health
113年底,藝術、娛樂及休閒服務業,196,564,2517,2024,lifestyle/culture
113年底,其他服務業,371,288,5376,2024,services
114年底,農林漁牧業,10,16,178,2025,other
114年底,礦業及土石採取業,1,2,6,2025,other
114年底,製造業,112,69,837,2025,manufacturing
114年底,電力及燃氣供應業,0,2,7,2025,other
114年底,用水供應及污染整治業,11,12,117,2025,other
114年底,營建工程業,271,169,2528,2025,construction
114年底,批發及零售業,1920,2189,29752,2025,shop/retail
114年底,運輸及倉儲業,4,18,4984,2025,transport/storage
114年底,住宿及餐飲業,1006,919,10015,2025,food/cafe
114年底,出版影音及資通訊業,97,75,1075,2025,information/media
114年底,金融及保險業,33,77,470,2025,finance
114年底,不動產業,24,22,232,2025,real estate
114年底,專業、科學及技術服務業,242,189,2276,2025,professional
114年底,支援服務業,123,94,1413,2025,services
114年底,公共行政及國防；強制性社會安全,0,0,0,2025,other
114年底,教育業,39,30,254,2025,education
114年底,醫療保健及社會工作服務業,0,0,0,2025,health
114年底,藝術、娛樂及休閒服務業,142,162,2499,2025,lifestyle/culture
114年底,其他服務業,383,247,5498,2025,services
