year,analysis_category,openings,closures,open_plus_close,opening_share_pct,closure_share_pct,closure_rate_of_events_pct,net_change
2022,construction,208,163,371,4.46,3.73,43.94,45
2022,education,43,11,54,0.92,0.25,20.37,32
2022,finance,20,41,61,0.43,0.94,67.21,-21
2022,food/cafe,1094,952,2046,23.46,21.79,46.53,142
2022,health,0,0,0,0.0,0.0,0.0,0
2022,information/media,90,111,201,1.93,2.54,55.22,-21
2022,lifestyle/culture,95,136,231,2.04,3.11,58.87,-41
2022,manufacturing,121,103,224,2.59,2.36,45.98,18
2022,other,25,33,58,0.54,0.76,56.9,-8
2022,professional,190,164,354,4.07,3.75,46.33,26
2022,real estate,24,18,42,0.51,0.41,42.86,6
2022,services,474,405,879,10.17,9.27,46.08,69
2022,shop/retail,2272,2213,4485,48.72,50.66,49.34,59
2022,transport/storage,7,18,25,0.15,0.41,72.0,-11
2023,construction,253,165,418,4.2,3.91,39.47,88
2023,education,37,17,54,0.61,0.4,31.48,20
2023,finance,20,26,46,0.33,0.62,56.52,-6
2023,food/cafe,1037,921,1958,17.23,21.8,47.04,116
2023,health,0,0,0,0.0,0.0,0.0,0
2023,information/media,94,82,176,1.56,1.94,46.59,12
2023,lifestyle/culture,994,145,1139,16.52,3.43,12.73,849
2023,manufacturing,74,77,151,1.23,1.82,50.99,-3
2023,other,18,17,35,0.3,0.4,48.57,1
2023,professional,222,165,387,3.69,3.91,42.64,57
2023,real estate,21,12,33,0.35,0.28,36.36,9
2023,services,499,356,855,8.29,8.43,41.64,143
2023,shop/retail,2743,2228,4971,45.58,52.75,44.82,515
2023,transport/storage,6,13,19,0.1,0.31,68.42,-7
2024,construction,251,206,457,5.51,4.37,45.08,45
2024,education,50,10,60,1.1,0.21,16.67,40
2024,finance,25,66,91,0.55,1.4,72.53,-41
2024,food/cafe,969,916,1885,21.29,19.45,48.59,53
2024,health,0,0,0,0.0,0.0,0.0,0
2024,information/media,67,88,155,1.47,1.87,56.77,-21
2024,lifestyle/culture,196,564,760,4.31,11.97,74.21,-368
2024,manufacturing,94,67,161,2.07,1.42,41.61,27
2024,other,21,17,38,0.46,0.36,44.74,4
2024,professional,203,188,391,4.46,3.99,48.08,15
2024,real estate,18,21,39,0.4,0.45,53.85,-3
2024,services,481,390,871,10.57,8.28,44.78,91
2024,shop/retail,2172,2163,4335,47.72,45.92,49.9,9
2024,transport/storage,5,14,19,0.11,0.3,73.68,-9
2025,construction,271,169,440,6.13,3.94,38.41,102
2025,education,39,30,69,0.88,0.7,43.48,9
2025,finance,33,77,110,0.75,1.79,70.0,-44
2025,food/cafe,1006,919,1925,22.77,21.41,47.74,87
2025,health,0,0,0,0.0,0.0,0.0,0
2025,information/media,97,75,172,2.2,1.75,43.6,22
2025,lifestyle/culture,142,162,304,3.21,3.77,53.29,-20
2025,manufacturing,112,69,181,2.54,1.61,38.12,43
2025,other,22,32,54,0.5,0.75,59.26,-10
2025,professional,242,189,431,5.48,4.4,43.85,53
2025,real estate,24,22,46,0.54,0.51,47.83,2
2025,services,506,341,847,11.45,7.95,40.26,165
2025,shop/retail,1920,2189,4109,43.46,51.0,53.27,-269
2025,transport/storage,4,18,22,0.09,0.42,81.82,-14
